标题,作者,内容,朝代,体裁
无题,贺铸,收锦字，下鸳机。净拂床砧夜捣衣。马上少年今健否，过瓜时见雁南归。,宋,词
无题,黄裳,扁舟寓兴，江湖上、无人知道名姓。忘机对景，咫尺群鸥相认。烟雨急、一片篷声碎，醉眼看山还醒。晴云断，狂风信。寒蟾倒，远山影。谁听。横琴数曲，瑶池夜冷。这些子、名利休问。况是物、都归幻境。须臾百年梦，去来无定。向婵娟、留住青春，笑世上、风流多病。蒹葭渚，芙蓉径。放侯印，趁渔艇。争甚。须知九鼎，金砂如圣。,宋,词
挽張州尹夫人,陸文圭,新頒五色金花誥，彩服兒孫正滿堂。不見魚軒隨五馬，空令鸞鏡照孤凰。車中鬢老愁潘岳，案上眉低憶孟光。流水無情飄素幔，凉宵燕寢獨凝香。,唐,律诗
讀故友于君集,劉言史,大底從頭總是悲，就中偏愴築城詞。依然想得初成日，寄出秋山與我時。,唐,绝句
送鄭君瑞知閩清,劉克莊,茲邑猶淳古，君行作長官。假令三尺密，終有一分寬。栗里歸差易，桐鄉愛極難。千峯青繞郭，暇日想凭欄。,唐,律诗
張昌宗,徐鈞,乘鶴吹笙想俊遊，醜聞宮掖擅風流。身膏斧躓終塵土，若比蓮花花亦羞。,唐,绝句
和推官  其一,韓淲,雨餘千里得安眠，凉翼條苗綠滿川。郡幕有賢時自熟，不勞水利問農田。,唐,绝句
示鄉人陳生,劉敞,我祖學蘆山，潛光玩詩書。君家獨先覺，一見矜里閭。固有如陳平，長貧賤者乎。青雲果自致，遠鑒驚羣愚。鳴風兆有媯，懿占信不誣。粲然諸子賢，仕各列大夫。號稱萬石君，盛事衣冠無。聲華輝圖史，豈獨榮枌榆。外族繼清高，恥爲事物拘。未嘗入城府，奕世風不渝。宜有羔鴈求，怪其久闕如。君來就鄉賦，信足光慶餘。郡守勸駕行，紫庭與計俱。努力事學問，豫章擢扶疏。游子懷故鄉，矧伊接葭莩。勉率爲歌詩，尚能念起予。,唐,诗
无题,史浩,鹤冷风亭，鸿迷烟渚，晓来雪意填空。酿成佳瑞，端为兆年丰。况有神娲妙手，调和得、云彩皆同。楼台上，铺琼缀玉，随步广寒宫。天公。开地轴，八紘混一，莫辨堤封。又须教、归禽狡兽沈踪。坐见花敷万木，谁知道、春已输工。三杯酒，西湖父老，相与话时雍。,宋,词
次韻曹宰聽舅氏彈琴,方岳,有客夜鼓龍門琴，風露漠漠侵秋庭。妙彈幽響落指外，此意難以兩耳聽。參橫斗轉四山寂，但聞別鶴之夜怨，離鸞之晨吟。挐音誰適鳴滄浪，寅緣葦間情衋傷。忽然浩歎聲軒昂，二十八宿俱韜藏。少焉月出流寒光，但見山蒼蒼兮江泱泱。爾乃舂容大篇，寂寞短章。謬攸一笑天所吝，亦恐此樂不可常。吾當爲君譜入渭陽操，莫彈履霜似傷孝。碧桐翠竹夜生寒，折楊皇華何足道。人生百年幾今夕，我思古人心忽忽。黄金擬鑄鍾子期，此言每墮槐安國。,唐,词
无题,李商英,喜琼筵乍启，似王母、宴瑶池。正珠履骈肩，群仙间坐，冰玉交辉。新词更兼旧曲，听歌声、宛转绕屏帏。一缕龙香水麝，满堂如彩云飞。金卮主献宾酬。无算数醉如泥。诮不管山翁，霜髯皓鬓，为插花枝。更阑带花归去，有馀香、冉冉惹人衣。一枕华胥梦觉，恍然身在桃溪。,宋,词
无题,吴文英,云深山坞，烟冷江皋，人生未易相逢。一笑灯前，钗行两两春容。清芳夜争真态，引生香、撩乱东风。探花手，与安排金屋，懊恼司空。憔悴敧翘委佩，恨玉奴销瘦，飞趁轻鸿。试问知心，尊前谁最情浓。连呼紫云伴醉，小丁香、才吐微红。还解语，待携归、行雨梦中。,宋,词
无题,毛并,飞盖满南园，想见八仙遥集。几树海棠开遍，正新晴天色。休辞一醉任扶还，衣上酒痕湿。便恐岁华催去，听秋虫相泣。,宋,词
同曼叔遊高陽山,韓維,久聞高陽勝，近在汝州側。跂予三年望，我願今卒獲。烟雲函兩山，臺殿開半壁。解鞍高林下，仰視怯登陟。蒼松盤老枝，矯矯入檐隙。微風韵其上，落耳寒惻惻。枇杷兩高樹，中國所未識。葉間青實駢，大與蜀土敵。我來暮暮後，花草已狼籍。不見躑躅紅，西巖向人碧。出門步榛薈，微逕不可索。援籬下幽澗，剝蘚題蒼石。鳥啼無定音，虎鬥有遺迹。石臺平挺挺，野竹瘦歷歷。主人尉下邑，奔走困符檄。喜我蕭散人，幽奇共搜剔。息陰時一憩，貪勝還自力。歸時山氣冷，草露濕遊屐。舉手謝峰巒，高秋復來覿。,唐,诗
无题,王之望,玉楼玄圃，旧是神仙伴。鸣佩时朝紫皇殿。种蟠桃成树，碧柰开花，著子满，金母盘中屡献。飘然乘彩凤，东望蓬莱，曾共扁舟五湖泛。正珈笄未老，兰玉盈前，春欲转、喜对芳辰开宴。愿绿发朱颜镇长新，教岁岁年年，寿觞深劝。,宋,词
夜坐,舒邦佐,霜蟾照戶鼓三更，獨坐蒲團一盞燈。名利此時都踏破，分明一箇在家僧。,唐,绝句
无题,苏轼,归去来兮，吾归何处，万里家在岷峨。百年强半，来日苦无多。坐见黄州再闰，儿童尽、楚语吴歌。山中友，鸡豚社酒，相劝老东坡。云何。当此去，人生底事，来往如梭。待闲看，秋风洛水清波。好在堂前细柳，应念我、莫翦柔柯。仍传语，江南父老，时与晒渔蓑。,宋,词
頌古,釋行,滿滿彎弓射不著，長長揮劍斫無痕。堪笑日月不到處，箇中別是一乾坤。,唐,绝句
无题,史浩,当年尚父，一个便兴周。今十倍，更何忧。冲融道貌丹为脸，扶疏漆发黑盈头。世方知，非熊老，聚吾州。有智略、可从兹日用，有志愿、可从兹日酬。天付我，怎教休。琼浆且共飞千斛，蟠桃应得见三偷。谅吾皇，恢复后，尽封侯。,宋,词
波羅密,白玉蟾,南方有此波羅密，人所厭棄鬼神惜。大如瓶笙身拳攣，長如囊枕針歷剌。天回故是來處遥，天南亦有能相識。君不見北人不夢象，南人何處夢駱駝。蜀犬吠月越吠雪，識與不識吾奈何。,唐,词
咸陽懷古,劉兼,高秋咸鎬起霜風，秦漢荒陵樹葉紅。七國鬭鷄方賈勇，中原逐鹿更爭雄。南山漠漠雲常在，渭水悠悠事旋空。立馬舉鞭遥望處，阿房遺址夕陽東。,唐,律诗
无题,仲殊,斜日平山寒已薄。雪过松梢，犹有残英落。晚色际天天似幕。一尊先与东风约。邀得红梅同宴乐。酒面融春，春满纤纤萼。客意为伊浑忘却。归船且傍花阴泊。,宋,词
无题,黄升,砧声齐。杵声齐。金井栏边败叶飞。夜寒乌不栖。风凄凄。露凄凄。影转梧桐月已西。花冠窗外啼。,宋,词
和益陽趙宰六首  其五,廖行之,底事及幽冥，仁人惻隠情。憐渠猶旅骴，爲爾返鄉城。泚顙人應化，分香訟亦平。存亡俱惠澤，高義與雲橫。,唐,律诗
戲答陳季常寄黄州山中連理松枝二首  其一,黄庭堅,故人折松寄千里，想聽萬壑風泉音。誰言五鬣蒼煙面，猶作人間兒女心。,唐,绝句
无题,韩元吉,江路晓来雨，残暑夜全消。人言天上今夕，飞鹊渐成桥。杳杳云车何处。脉脉红蕖香度。瓜果趁良宵。推枕断虹卷，抚槛白鱼跳。无湖客，临风露，倚兰苕。云涛四起，极目人世有烟霄。我送君舟西渡。君望我帆南浦。明日恨迢迢。且醉吴淞月，重听浙江潮。,宋,词
无题,李之仪,深秋庭院，残暑全消退。天幕迥，云容碎。地偏人罕到，风惨寒微带。初睡起，翩翩戏蝶飞成对。叹息谁能会。犹记逢倾盖。情暂遣，心常在。沈沈音信断，冉冉光阴改。红日晚，仙山路隔空云海。,宋,词
自入襄城即有山水之興路中稍有賡唱因呈遵道,陳淵,風沙久迷神，山水忽照眼。粼粼碧玉甃，叠叠青螺綰。人煙盛樂土，草樹亦精産。雲霞入杳冥，禽鳥度盃醆。放情千里迥，悟意一笑莞。胸襟得奇趣，酬唱出新撰。蟲魚怯嘲誚，文史困鳩僝。我詩實易成，淡薄非佳饌。君詞頗簡出，嚴絕類燒棧。自應即退縮，强爾取驚赧。微言固可錄，狂論猶未剗。勿使俗人知，歸途畏書簡。,唐,诗
資政少保章簡公輓詞,楊傑,中道立不倚，大哉王者言。文章曾潤色，功業在調元。衮繡光閭里，圖書遺子孫。悲風起吳國，千載鳯凰原。,唐,律诗
三五,王梵志,欲得依（一本作「於」。）身吉。無過作是非。（一本作「莫作非」）。但知牢閉口，禍去阿你（一本作埿。）來。（「阿你來」，斯二七一○、斯三三九三、伯四○九四卷作「阿寧來」，伯三五五八、伯三六五六卷作「自然離」。）。,唐,词
紹聖春宴口號  其一,蔡京,牙牌曉奏集英班，日照雲龍下九關。紅蠟青烟寒食後，翠華黄屋太微間。,唐,绝句
无题,无名氏,高文虎，称伶俐。万苦千辛，作个放生亭记。后头没一句说著朝廷，尽把师归美。这老子忒无廉耻。不知润笔能几。夏王说不是商王，只怕伏生是你。,宋,词
蜀郡范公景仁挽詞三首  其一,范純仁,翰苑文章伯，金華侍從臣。四朝行直道，一意在生民。白首唯憂國，青雲早退身。囊中有遺藁，不學茂陵人。,唐,律诗
无题,无名氏,罗袜凌波洛浦仙。谪来潭府话夤绿。应嫌曲水香尘涴，诞降兰亭禊事前。歌窈窕，舞婵娟。芝兰满室庆团圆。殷勤试问刘郎看，阿母蟠桃种几年。,宋,词
和陶停雲  其四,吳芾,吁嗟人世，如彼南柯。正宜閑處，養此太和。縱使得意，位高金多。老不知止，寧逃譴呵。,唐,其他
木芙蓉  其二,宋祁,一作淮南守，再逢霜艷新。花前今日酒，却是去年人。,唐,绝句
无题,范炎,襟韵何如，文雅风流，王谢辈人。问传家何物，多书插架，放怀无可，有酒盈樽。一咏一谈，悠然高致，似醉当年曲水春。还知否，壮胸中万卷，笔下千军。门前我有佳宾。但明月、清风更此君。喜西庐息驾，心间胜日，东皇倚杖，目送行云。闻道君王，玉堂佳处，欲诏长杨奏赋孙。功名看，一枝丹桂，两树灵椿。,宋,词
思雲門,陸游,一身膏脂略瘦盡，萬卷簡編如隔生。祇欲移家若耶去，亂雲深處聽灘聲。,唐,绝句
无题,张元干,云气吞江卷夕阳。白头波上电飞忙。奔雷惊雨溅胡床。玉节故人同壮观，锦囊公子更平章。榕阴归梦十分凉。,宋,词
无题,李寅仲,摩挲阅古堂前柳，尽是世臣乔木。故国风流，中兴事业，都写南山修竹。商颜自绿。甚当日君王，浩歌鸿鹄。谁识宫中，有人先定大横卜。簪貂更鸣佩玉。退朝归较晚，留传黄屋。雨露无边，风云在手，宜享长生福。神京未复。看先取鸿沟，次封函谷。岁岁初寒，小桃花下跨青鹿。,宋,词
惠文編,韓維,一編高唱暑中開，習習清風匝地來。金作瓶盤珠就貫，知君親到寶山回。,唐,绝句
无题,朱敦儒,连云衰草，连天晚照，连山红叶。西风正摇落，更前溪呜咽。燕去鸿归音信绝。问黄花、又共谁折。征人最愁处，送寒衣时节。,宋,词
題純陽洞,蒲壽宬,路入松蘿去，閒眠石頂雲。半宵忽聞虎，六月不飛蚊。煙郭多年畫，晴疇破衲紋。世無俱絕粒，持鉢不如耘。,唐,律诗
四十年前元夕與故人夜遊得此句,蘇軾,午夜朧朧淡月黄，夢回猶有暗塵香。縱橫滿地霜槐影，寂寞蓮燈半在亡。,唐,绝句
无题,韩维,轻云薄雾。散作催花雨。,宋,词
聽崔七妓人箏,白居易,花臉雲鬟坐玉樓，十三弦裏一時愁。憑君向道休彈去，白盡江州司馬頭。,唐,绝句
无题,魏了翁,沙堤除道火成城。换得午桥清。寒色般添酒令，野芳抵当鉶羹。松馨花气，岸容山意，浦思溪情。谁记一时胜引，坐中喜得间平。,宋,词
夜三首  其二,劉攽,凉風吹素月，深夜欲眠時。露自入秋白，漏從前日遲。河光如劍直，螢影似星移。多少流年感，聞蛩輒易悲。,唐,律诗
无题,张炎,云深别有深庭宇。小帘栊、占取芳菲多处。花暗水房春，润几番酥雨。见说苏堤晴未稳，便懒趁、踏青人去。休去。且料理琴书，夷犹今古。谁见静里闲心，纵荷衣未茸，雪巢堪赋。醉醒一乾坤，任此情何许。茂树石床同坐久，又却被、清风留住。欲住。奈帘影妆楼，翦灯人语。,宋,词
无题,张鎡,晴昼永，闲步小园中。羽帔云轻苍佩响，宝冠星莹绀纱笼。波秀浅蛾峰。琳洞窈，人静理丝桐。泛指馀音摇桂影，过墙高韵入松风。月上翠楼东。,宋,词
无题,王安中,红云茜雾笼金阙。圣运叶、星虹佳节。紫禁晓风馥天香，奏九韶、帝心悦。瑶阶万岁蟠桃结。睿算永、壶天风月。日观几时六龙来，金缕玉牒告功业。,宋,词
再和制帥  其五,王之望,武林一別幾經秋，誰料同爲錦里遊。蒹葦已慚瑶樹倚，瓊琚仍愧木瓜投。小詩勉向忙中和，大白難禁醉裏酬。他日東南陪晤語，故應相對話刀州。,唐,律诗
无题,方岳,槎牙诗骨，想生来无分，史闱经幄。呵护九关多虎豹，谁道去天一握。奏赋两都，闻韶三月，雁远书难托。一寒如许，蟾枝莫倚高擢。空使满壑风烟，半村雪月，孤负梅花约。渺渺愁予初度也，山互同云垂幕。鹤帐何如，牛衣无恙，麦陇占优渥。不如归去，檐花深夜春酌。,宋,词
宮詞  其五三,張公庠,楊花飛去落誰家，紫禁人閑惜歲華。謾向園林覓春色，折殘枝上兩三花。,唐,绝句
雪晴可喜,韓淲,雪後春生日氣晴，梅根蘭葉喜駸駸。亟圖賸賞那無興，轉覺倦遊非有心。高卧袁安嗟往事，生擒元濟報佳音。明年脫綬乘潮去，舟過釣臺尤要吟。,唐,律诗
无题,史浩,闲忙两字无多子。叹举世、皆由此。逐利争名忙者事。廛中得丧，仕中宠辱，无限非和是。谁人解识闲中味。雪月烟云自能致。世态只如风过耳。三杯两盏，眼朦胧地，长向花前醉。,宋,词
與禪人,釋了演,家山有路應須到，到得家山未是歸。拈轉杖頭俱劃斷，好看午夜太陽輝。,唐,绝句
開禧元年四月自中都挈家還鄉寓居城南十二月遷居柳溪上其夜大雪初一日蓋宰來訪約過縣齋爲一日款深夜而歸賦此  其五,汪莘,徹骨寒誰覺，回骸暖自醒。直須人悄悄，方得物亭亭。性伏涵三極，心開燭萬靈。有僧肥臃腫，怪我瘦竛竮。,唐,律诗
无题,林正大,落魄高人，拼百万、青铜一醉。挥素手、朱绳一抹，四筵惊起。催织寒虫秋弄月，叫群独雁天浮水。更黄鹂、紫燕对春风，争繁脆。悲楚国，羁臣意。怜汉女，逾千里。似深闺恩怨，共相汝尔。我有江南丘壑趣，此弦能道心中事。要曲肱、时听写松风，云窗里。,宋,词
閒居,嚴粲,盡日門前草，青青不染塵。生書方破卷，幽鳥忽啼春。失意成高興，多閒信懶身。不須憂世事，廊廟有經綸。,唐,律诗
次韻魯直寄靈源三首  其三,釋德洪,閲世竟爲蝸角事，不妨閑作虎頭癡。平生筆語難傳處，獨許靈源大士知。,唐,绝句
次韵楊嘉父先輩贈行,陸游,貞元舊朝士，太學老諸生。半世不偶諧，殘年正飄零。危坐但愁悲，一笑黄河清。佳客如晨星，俗子如春萍。奇哉今日事，諸賢送東征。吸酒杯當空，綴詩筆勿停。明發復百憂，君聽馬蹄聲。,唐,诗
隠真堂,胡志道,休說神仙事眇茫，出游塵世且和光。誰知今日真棲地，便是他年羽化鄉。朝罷玉壇雲滿袖，夢回金闕月侵廊。茲游似覺青冥上，隠隠微聞詠洞章。,唐,律诗
无题,杨无咎,秋暮。永夜西楼，冷月明窗户。梦破橹声中，忆在松江路。敧枕试寻曾游处。记历历、风光堪数。谁与浮家五湖去。尽醉眠秋雨。,宋,词
句,李宣古,翠蓋不西來，池上天池歇。冉冉池上煙，盈盈池上柳。生貴非道傍，不斷行人手。,唐,诗
吳王挽辭二首 二,徐鉉,土德承餘烈，江南廣舊恩。一朝人事變，千古信書存。哀挽周原道，銘旌鄭國門。此生雖未死，寂寞已消魂。（以上二首角《宋詩紀事》卷三。）（見《東軒筆錄》卷一、《宋朝事實類苑》卷三六。第一首第四句「白草」二字，《東軒筆錄》作「芳草」、《宋朝事實類苑》作「荒草」。）（〖1〗宋翟耆年《籀史》：「徐鉉鼎臣從李煜歸朝，爲銀青光祿大夫、右散騎常侍。太平興國中，李煜薨，詔侍臣撰煜神道碑。有欲中傷鉉者，奏曰：『吳王事，莫若徐鉉爲詳。』遂詔鉉撰。鉉泣曰：『臣舊事李煜，陛下容臣存故主之義，乃敢奉詔。』太宗許之。鉉但推言歷數有盡，天命有歸而已。其警句云：『東鄰搆禍，南箕扇疑，投杼致慈親之惑，乞火無鄰婦之詞。始勞因壘之師，終後塗山之會。』太宗覽之，稱歎不已。異日復得鉉所撰《吳王挽詞》，今傳者二首云云。鉉被詔撰《江南錄》，故有『信書』之句。東鄰謂錢俶也。」〖2〗望按：如《籀史》所載，知挽辭二首之作，已在入宋之後。以所涉李煜，曾是南唐之主，而徐鉉生活於五代者亦四十餘年，且《全唐詩》徐鉉卷亦收其仕宋後篇什，故仍援例錄補，俾成完帙。）。,唐,词
无题,张抡,秋入云山，物情潇洒。百般景物堪图画。丹枫万叶碧云边，黄花千点幽岩下。已喜佳辰，更怜清夜。一轮明月林梢挂。松醪常与野人期，忘形共说清闲话。,宋,词
无题,黄机,漠漠波浮云影，遥遥天接山痕。一声渔唱起苹汀。名利缘渠唤醒。短棹拟携西子，长吟时吊湘灵。白鸥容我作同盟。占取两湖清影。,宋,词
謝公挽詞三首  其二,歐陽修,前日賓齋宴，今晨奠柩觴。死生公自達，存沒世徒傷。舊國難歸葬，餘貲不給喪。平生公輔志，所得在文章。,唐,律诗
无题,辛弃疾,少年风月，少年歌舞，老去方知堪羡。叹折腰、五斗赋归来，问走了、羊肠几遍。高车驷马，金章紫绶，传语渠侬稳便。问东湖、带得几多春，且看凌云笔健。,宋,词
詠史十一首 十,李華,六國韓最弱，末年尤畏秦。鄭生爲韓計，且欲疲秦人。利物可分社，原情堪滅身。咸陽古城下，萬頃稻苗新。,唐,律诗
无题,汪元量,如何说。人生自古多离别。多离别。年年辜负，海棠时节。娇娇独坐成愁绝。胡笳吹落关山月。关山月。春来秋去，几番圆缺。,宋,词
長至日山家偶成,陳著,疇昔隨班舞御香，如今忍凍坐山房。臺雲誰取書黄瑞，宮日空舒刺繡光。懶把酒杯心自醉，閒欹肱枕意何長。晚窗閉眼消詳易，頼有生生不斷腸。,唐,律诗
无题,刘镇2,柳阴庭院。帘约风前燕。著雨荷花红半敛。消得盈盈绿扇。竹光野色生寒。玉纤雪藕冰盘。长记酒醒人静，暗香吹月栏干。,宋,词
无题,袁去华,暮雨消烦暑。房栊□、顿觉秋意如许。天高云杳，山横绀碧，桂华初吐。空庭静掩桐阴，更苒苒、流萤暗度。记那时、朱户迎风，西厢待月私语。佳期易失难重，馀香破镜，虽在何据。如今要见，除非是梦，几时曾做。人言雁足传书，待尽写、相思寄与。又怎生、说得愁肠，千丝万缕。,宋,词
无题,晁补之,春又去，似别佳人幽恨积。闲庭院，翠阴满，添昼寂。一枝梅最好，至今忆。正梦断，炉烟袅，参差疏帘隔。为何事、年年春恨，问花应会得。,宋,词
挽黎承事  其二,胡寅,援手遺嫠難，酬心樂泮恩。凄凉投轄井，慨歎給孤園。藝檟平居近，攀松永慕敦。流年駒過隙，不辱付諸昆。,唐,律诗
次韵子瞻登望海樓五絕  其三,蘇轍,樓觀爭高不計層，噰噰過雁自相譍。錢王舊業依稀在，歲久無人話廢興。,唐,绝句
與子華原父小飲坐中寄同州江十學士休復,歐陽修,歲晚忽不樂，相過偶乘閑。百年纔幾進，一笑得亦艱。有酒醉嘉客，無錢買妖鬟。問予官何爲，侍從聯朝班。朝廷多賢材，何用蒯與菅。白髮垂兩鬢，黄金腰九環。奈何章綬榮，飾此木石頑。於國略無補，有慙常在顔。幸蒙二三友，相與文字間。江子獨捨我，高鴻去難攀。秋風動沙苑，郡閣當南山。吟詠日多暇，詔條寬可頒。寒雲雪紛糅，幽鳥春緜蠻。勝事日向好，思君何時還。,唐,诗
別妻,崔涯,隴上泉流隴下分，斷腸嗚咽不堪聞。嫦娥一入月中去，巫峽千秋空白雲。,唐,绝句
无题,张抡,深亭邃馆锁清风。榴花芳艳浓。阳光染就欲烧空。谁能窥化工。观物外，喻身中。灵砂别有功。若将一粒比花容。金丹色又红。,宋,词
无题,王安石,茫然不肯住林间。有处即追攀。将他死语图度，怎得离真丹。浆水价，匹如闲。也须还。何如直截，踢倒军持，赢取沩山。,宋,词
句  其四,釋義銛,冰霜過了翩然去。,唐,其他
畫牛,胡寅,江上春犂雨，當年力共强。只今對圖畫，臧穀兩亡羊。牧子鞭繩急，防渠犯苗稼。人人白水牯，豈必溈山下。,唐,律诗
无题,赵鼎,惜别伤离，此生此念无重数。故人何处。还送春归去。美酒一杯，谁解歌金缕。无情绪。淡烟疏雨。花落空庭暮。,宋,词
寄題洪巨濟中大鄱陽園亭四詠 綠楊橋,孫覿,津樹正青青，水拍兩岸平。千章雲外合，一勺煙中横。葉密翳鳥語，波清見魚行。灣碕雨初乾，陂露雪正晴。誰來聽山公，著屐過橋聲。,唐,诗
无题,刘辰翁,老去尚呼张丈，醉中自惜熊儿。越王台上鹧鸪啼。三朝臣不遇，无复好文时。情绪幽幽似结，鬓丝索索禁吹。病来魂不到相思。散人腰已散，倚杖叹吾衰。,宋,词
无题,无名氏,喜动神仙屋。正三秋、长空月满，又逾一宿。传道垂弧当此日，缘是蓝田生玉。更子舍、新归婉淑。好事重重欣逢遇，合称觞、宴席倾醽醁。拼一醉，欢娱足。桃源庆婿歌新曲。想蓬莱、仙洞又献，长生真箓。看一点、老人照耀，牛女莱庭祝福。合长幼、芝兰满目。总向来秋高折桂，麻衣换取蓝袍绿。永遇乐，食天禄。,宋,词
寄海藏主,釋如珙,佛佛授手無多子，祖祖相傳似海深。昨夜西風撼門扇，天明無跡可追尋。,唐,绝句
與元規話別  其一,釋道潜,湖水蒼茫四接天，短篷孤榜數回旋。想君東海東頭夢，猶在汀洲白鳥邊。,唐,绝句
朱卿有絕句看梅之約次韵謝之  其一,韓淲,當代儒魁不數人，紛紛膠膠孰知春。詩來話起梅花約，一段風流意更真。,唐,绝句
手影戲,釋惠明,三尺生綃作戲臺，全憑十指逞詼諧。有時明月燈窗下，一笑還從掌握來。,唐,绝句
上故相留公  其一,汪夢斗,蒼天有意不能違，行邁心摇賦黍離。弼既遭艱尋罷政，質如在位必遲疑。身逢今日多休問，事在當年偶少思。緣是庚申輕放入，力爭不似甲辰時。,唐,律诗
自富池江入興國軍港留三日歸回舟捷甚摭實寫意,董嗣杲,到此未入郡，入郡由别港。不意好奇人，黄堂争說項。說項非所私，况無適時資。驅馳靡所憚，重苦登覧悲。開慶擾攘後，民力未通透。如斯斗底郡，俗習因仍陋。只今良二千，懇惻出心田。耕桑匝原野，謡頌周市廛。遡舟走麾下，容光託假借。坐卧寄酸吟，轉首已三夜。將行慰我深，語語吐直心。發笑酌我酒，垂情餉我金。平生慨可至，毋若此急義。忍違離荒津，陸行且無地。秋寒筋骨疲，風雨更厄之。病亦坐酒困，樂在遇已知。下水浩然涉，出港何其捷。及門祗霎時，不想無吏接。,唐,诗
无题,何梦桂,衮衣绣裳，彤弓卢矢，山西将门。自雪岭蓬婆，夷成坦道，炎州蜓獠，剗去连营。吴越儿童，江淮草木，七见元戎识姓名。争知道，这一隅斗大，尚借麾旌。西风吹下天声。看万骑貔貅入井陉。彼山棚魍魉，雷霆震击，海濒赤子，天日开明。事业方来，乾坤无尽，千古英雄不偶生。从兹去，看云台翼轸，麟阁丹青。,宋,词
次韵酬宋玘六首  其六,王安石,山陂疇昔從吾親，諸父先生各佩紛。零落長年誰語此，遲回故地却逢君。衣冠偶坐論經術，襁褓當時刺繡文。更怪高材終未遇，有司何日選方聞。,唐,律诗
无题,李纲,龟台金母。绀发芳容超敻古。绛节霓旌。青鸟传言若可凭。瑶池龙宴。零落碧桃香片片。八骏西巡。更有何人继后尘。,宋,词
拒霜,虞儔,纖枝綠葉競成叢，誰障西來落木風。霞散纏頭千丈綺，春回醉面一番紅。伶俜欲嫁還羞晚，梳洗隨宜不愛工。况是秋高花已少，對花莫放酒杯空。,唐,律诗
无题,刘几,三春向暮，万卉成阴、有嘉艳方坼。娇姿嫩质。冠群品，共赏倾城倾国。上苑晴昼暄，千素万红尤奇特。绮筵开，会咏歌才子，压倒元白。别有芳幽苞小，步障华丝，绮轩油壁。与紫鸳鸯、素蛱蝶。自清旦、往往连夕。巧莺喧翠管，娇燕语雕梁留客。武陵人，念梦役意浓，堪遣情溺。,宋,词
无题,无名氏,天与秋光。转转情伤，探金英、知近重阳。薄衣初减，绿蚁初尝。渐一番风，一番雨，一番凉。黄昏院落，恓恓惶惶。酒醒时、往事愁肠。那堪永夜，明月空床。问砧声捣，蛩声细，漏声长。,宋,词
再韻謝黎月罔筆墨丹砂之貺,蕭立之,今君好賜及層顛，憐我幽篁不見天。束縛遣前浮月窟，品題稱絕重黟川。藥來南海增新價，劑入西窗煮晚烟。惟有吟哦相報答，爲君滌硯試新泉。,唐,律诗
无题,张抡,湖光染翠□□□。□□□□□。□爱江湖光景，不曾别做□□。□□□□，□□□□，□□侬家。醉卧水云□□，□□□□□□。,宋,词
无题,杨泽民,梅信初回暖，风棱犹壮寒。禾稼响圭璧，帘旌隐琅玕。门外群山尚满，窗前数片馀残。冻底潜有鱼翻。东风渐生澜。杖策扶半醉，燕寝有馀欢。儿童自捧，皑皑调蜜盈盘。兆丰穰和气，来呈美瑞，莫同轻薄飞絮看。,宋,词
雜曲歌辭 行路難,翁綬,行路艱難不復歌，故人榮達我蹉跎。雙輪晚上銅梁雪，一葉春浮瘴海波。自古要津皆若此，方今失路欲如何？君看西漢翟丞相，鳳沼朝辭暮雀羅。,唐,律诗
詩偈 八,龐藴,鍊盡三山鐵，鎔銷五嶽銅。林枯鳥自散，海竭絕魚龍。無師破戒行，有法盡皆空。,唐,诗
比干墓,汪遵,國亂時危道不行，忠賢諫死勝謀生。一沈冤骨千年後，壠水雖平恨未平。,唐,绝句
醉作三首  其二,朱熹,淅淅西風起，候蟲寒夜分。千山杳沉寂，竟夕斷知聞。,唐,绝句
和酬道先賢良見寄新句,呂南公,中林獨往寡襟期，祗與耕桑治町畦。遲晚識君真幸會，生平於世似分携。未能捧履師黄石，且欲同歌效紫溪。郡閣郊園遥百里，未妨懷寄屢封題。,唐,律诗
題姜堯章白石洞,韓淲,詩眼玩塵世，漫作威鳳鳴。經行苕溪水，乃見白石清。拂衣鑑須眉，喚起仙骨驚。胡爲隨人間，歎息百慮縈。洞中應笑我，何不高舉輕。明時樂未正，尚欲追英莖。它年淳氣合，肯有爵服情。癡人莫說夢，烈士徒殉名。轉庵偶饒舌，已足壓旦評。古來曠達者，談笑得此生。臨流賦招隠，一奏朱絃聲。,唐,诗
南奔書懷,李白,遙夜何漫漫，空歌白石爛。甯戚未匡齊，陳平終佐漢。攙搶掃河洛，直割鴻溝半。歷數方未遷，雲雷屢多難。天人秉旄鉞，虎竹光藩翰。侍筆黃金臺，傳觴青玉案。不因秋風起，自有思歸歎。主將動讒疑，王師忽離叛。自來白沙上，鼓譟丹陽岸。賓御如浮雲，從風各消散。舟中指可掬，城上骸爭爨。草草出近關，行行昧前算。南奔劇星火，北寇無涯畔。顧乏七寶鞭，留連道傍翫。太白夜食昴，長虹日中貫。秦趙興天兵，茫茫九州亂。感遇明主恩，頗高祖逖言。過江誓流水，志在清中原。拔劍擊前柱，悲歌難重論。,唐,诗
无题,晏几道,湘妃浦口莲开尽，昨夜红稀。懒过前溪。闲舣扁舟看雁飞。去年谢女池边醉，晚雨霏微。记得归时。旋折新荷盖舞衣。,宋,词
